median_p4 median_p5 median_p6 satellite time_mjd
0.0184 0.0151 0.00495 13 57612.999222407
0.0191 0.0151 0.00512 13 57613.999222407
0.0184 0.0151 0.00505 13 57614.999222407
0.0184 0.0155 0.00508 13 57615.999222407
0.0191 0.0151 0.00508 13 57616.999222407
0.0184 0.0149 0.00508 13 57617.999222407
0.0184 0.0151 0.00505 13 57618.999222407
0.01875 0.0152 0.00508 13 57619.999222407
0.01875 0.0153 0.00508 13 57620.999222407
0.0184 0.0151 0.00512 13 57621.999222407
0.0184 0.0154 0.00508 13 57622.999222407
0.0184 0.0153 0.00505 13 57623.999222407
0.0191 0.0152 0.00512 13 57624.999222407
0.0191 0.0152 0.00518 13 57625.999222407
0.0184 0.0155 0.00525 13 57626.999222407
0.0191 0.0157 0.00525 13 57627.999222407
0.0197 0.0161 0.005435000000000001 13 57628.999222407
0.0197 0.0163 0.00535 13 57629.999222407
0.0197 0.016 0.00535 13 57630.999222407
0.0191 0.0157 0.00525 13 57631.999222407
0.0184 0.0153 0.00515 13 57632.999222407
0.0184 0.0149 0.00505 13 57633.999222407
0.0177 0.0148 0.00505 13 57634.999222407
0.0184 0.0148 0.00495 13 57635.999222407
0.0184 0.0149 0.00498 13 57636.999222407
0.0177 0.01485 0.00501 13 57637.999222407
0.0177 0.0151 0.00498 13 57638.999222407
0.0184 0.0151 0.00498 13 57639.999222407
0.0191 0.0153 0.00515 13 57640.999222407
0.0191 0.0155 0.00515 13 57641.999222407
0.0191 0.0155 0.00522 13 57642.999222407
0.0191 0.0155 0.00512 13 57643.999222407
0.0191 0.0158 0.00522 13 57644.999222407
0.0191 0.0159 0.00525 13 57645.999222407
0.0191 0.0159 0.00522 13 57646.999222407
0.0197 0.0157 0.00528 13 57647.999222407
0.0197 0.0157 0.005235 13 57648.999222407
0.0191 0.0159 0.00528 13 57649.999222407
0.0197 0.0153 0.00522 13 57650.999222407
0.0197 0.0159 0.00528 13 57651.999222407
0.0197 0.0157 0.00525 13 57652.999222407
0.0197 0.0157 0.00525 13 57653.999222407
0.0191 0.0159 0.00525 13 57654.999222407
0.0197 0.0159 0.00539 13 57655.999222407
0.0204 0.016399999999999998 0.00542 13 57656.999222407
0.0191 0.0157 0.00528 13 57657.999222407
0.0191 0.0155 0.00515 13 57658.999222407
0.0194 0.0153 0.00515 13 57659.999222407
0.0191 0.0153 0.00512 13 57660.999222407
0.0191 0.0153 0.00512 13 57661.999222407
0.0191 0.0155 0.00518 13 57662.999222407
0.0191 0.0155 0.00518 13 57663.999222407
0.0191 0.0155 0.00515 13 57664.999222407
0.0197 0.0155 0.00522 13 57665.999222407
0.0191 0.0156 0.00528 13 57666.999222407
0.0197 0.016 0.00525 13 57667.999222407
0.0197 0.0159 0.00532 13 57668.999222407
0.02005 0.016 0.00542 13 57669.999222407
0.0197 0.0163 0.00545 13 57670.999222407
0.0204 0.0163 0.00547 13 57671.999222407
0.0197 0.0161 0.00539 13 57672.999222407
0.0191 0.0157 0.00528 13 57673.999222407
0.02005 0.0159 0.00539 13 57674.999222407
0.0191 0.0161 0.00545 13 57675.999222407
0.0191 0.0159 0.00535 13 57676.999222407
0.0194 0.0157 0.00532 13 57677.999222407
0.0191 0.0157 0.00528 13 57678.999222407
0.0197 0.0161 0.00542 13 57679.999222407
0.0197 0.0165 0.00542 13 57680.999222407
0.0197 0.0163 0.00549 13 57681.999222407
0.0204 0.0167 0.00556 13 57682.999222407
0.02005 0.0165 0.00556 13 57683.999222407
0.0197 0.0165 0.00552 13 57684.999222407
0.0197 0.0161 0.005405 13 57685.999222407
0.0197 0.0158 0.00528 13 57686.999222407
0.0197 0.0161 0.00528 13 57687.999222407
0.0197 0.0157 0.00528 13 57688.999222407
0.0197 0.0155 0.00532 13 57689.999222407
0.0191 0.0157 0.00528 13 57690.999222407
0.0191 0.0159 0.00535 13 57691.999222407
0.0197 0.016 0.00535 13 57692.999222407
0.0197 0.0161 0.00535 13 57693.999222407
0.0197 0.0158 0.00525 13 57694.999222407
0.0197 0.0159 0.005265000000000001 13 57695.999222407
0.0204 0.0161 0.00545 13 57696.999222407
0.0204 0.0167 0.00549 13 57697.999222407
0.0197 0.0163 0.00549 13 57698.999222407
0.0197 0.0167 0.00549 13 57699.999222407
0.0197 0.0165 0.00549 13 57700.999222407
0.0204 0.0163 0.00545 13 57701.999222407
0.0204 0.0167 0.00556 13 57702.999222407
0.0197 0.0167 0.00556 13 57703.999222407
0.0204 0.0163 0.00542 13 57704.999222407
0.0204 0.0165 0.0055049999999999995 13 57705.999222407
0.02005 0.0167 0.00549 13 57706.999222407
0.0197 0.0167 0.00559 13 57707.999222407
