median_p4 median_p5 median_p6 satellite time_mjd
0.0171 0.0167 0.00495 15 57930.999222407
0.0171 0.0168 0.00491 15 57931.999222407
0.0171 0.0167 0.00491 15 57932.999222407
0.0171 0.0169 0.00501 15 57933.999222407
0.0177 0.0171 0.00505 15 57934.999222407
0.0177 0.0169 0.00493 15 57935.999222407
0.0164 0.0167 0.00501 15 57936.999222407
0.0177 0.0171 0.00501 15 57937.999222407
0.0177 0.0171 0.00508 15 57938.999222407
0.0177 0.0173 0.005065 15 57939.999222407
0.0177 0.0171 0.00505 15 57940.999222407
0.0177 0.0173 0.00512 15 57941.999222407
0.0184 0.0174 0.005135000000000001 15 57942.999222407
0.0177 0.0173 0.00518 15 57943.999222407
0.0177 0.0173 0.00501 15 57944.999222407
0.0177 0.0171 0.00505 15 57945.999222407
0.0177 0.0175 0.00512 15 57946.999222407
0.1955 0.0212 0.00522 15 57947.999222407
0.1085 0.0191 0.00518 15 57948.999222407
0.023 0.0163 0.00481 15 57949.999222407
0.0171 0.0157 0.00464 15 57950.999222407
0.0174 0.0165 0.00491 15 57951.999222407
0.0177 0.0172 0.00498 15 57952.999222407
0.0177 0.0175 0.00512 15 57953.999222407
0.0177 0.0171 0.00515 15 57954.999222407
0.0177 0.0169 0.00503 15 57955.999222407
0.0174 0.0167 0.00491 15 57956.999222407
0.01875 0.0166 0.00495 15 57957.999222407
0.0296 0.0165 0.00488 15 57958.999222407
0.0283 0.0163 0.00484 15 57959.999222407
0.025 0.0163 0.00491 15 57960.999222407
0.0243 0.0165 0.00488 15 57961.999222407
0.0217 0.0162 0.00474 15 57962.999222407
0.021 0.0161 0.00488 15 57963.999222407
0.0191 0.0165 0.00488 15 57964.999222407
0.0177 0.0157 0.00471 15 57965.999222407
0.0164 0.0153 0.00457 15 57966.999222407
0.0171 0.0155 0.00464 15 57967.999222407
0.0164 0.0157 0.00461 15 57968.999222407
0.0164 0.0159 0.00478 15 57969.999222407
0.0171 0.0157 0.00474 15 57970.999222407
0.0164 0.0161 0.00478 15 57971.999222407
0.0171 0.0161 0.00481 15 57972.999222407
0.0171 0.0161 0.00488 15 57973.999222407
0.0177 0.0163 0.00491 15 57974.999222407
0.0177 0.0169 0.00505 15 57975.999222407
0.0177 0.0165 0.00498 15 57976.999222407
0.0171 0.0165 0.00493 15 57977.999222407
0.0177 0.0167 0.00493 15 57978.999222407
0.0177 0.0167 0.00495 15 57979.999222407
0.0177 0.0165 0.00498 15 57980.999222407
0.0177 0.0167 0.00495 15 57981.999222407
0.0171 0.0159 0.00486 15 57982.999222407
0.0171 0.0157 0.00478 15 57983.999222407
0.0171 0.0155 0.004654999999999999 15 57984.999222407
0.0171 0.0155 0.00478 15 57985.999222407
0.0171 0.0153 0.00464 15 57986.999222407
0.0138 0.014 0.00434 15 57987.999222407
-100000.0 -100000.0 -100000.0 15 57988.999222407
0.0171 0.0157 0.00478 15 57989.999222407
0.0171 0.0159 0.00478 15 57990.999222407
0.0177 0.0161 0.00484 15 57991.999222407
0.0177 0.0161 0.00484 15 57992.999222407
0.0177 0.0161 0.00491 15 57993.999222407
0.0184 0.0165 0.00488 15 57994.999222407
0.0177 0.0165 0.00493 15 57995.999222407
0.0184 0.0161 0.00491 15 57996.999222407
0.0177 0.0162 0.00495 15 57997.999222407
0.0197 0.0165 0.00495 15 57998.999222407
0.0191 0.0165 0.00501 15 57999.999222407
1.51 0.0195 0.00498 15 58000.999222407
0.396 0.019799999999999998 0.005575 15 58001.999222407
2.66 0.0398 0.00518 15 58002.999222407
0.38649999999999995 0.0189 0.00434 15 58003.999222407
